id,name,country_id,name@bs,tax_receivable_account_id,tax_payable_account_id
tax_group_pdv_17,VAT 17%,base.ba,PDV 17%,ba_279000,ba_479000
tax_group_pdv_0,VAT 0%,base.ba,PDV 0%,ba_279000,ba_479000
